                                           Experiment  Subset   Metric  File     Value                                  Model        CNN          RNN  LENGTH
91         Evaluation-ResNet152_Mamba-finetuned-clip2      60  ROC-AUC     2  0.925479        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      60
92         Evaluation-ResNet152_Mamba-finetuned-clip2      60  ROC-AUC     3  0.924194        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      60
93         Evaluation-ResNet152_Mamba-finetuned-clip2      60  ROC-AUC     4  0.903357        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      60
94         Evaluation-ResNet152_Mamba-finetuned-clip2      60  ROC-AUC     5  0.922727        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba      60
95         Evaluation-ResNet152_Mamba-finetuned-clip2     180  ROC-AUC     1  0.921853        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba     180
96         Evaluation-ResNet152_Mamba-finetuned-clip2     180  ROC-AUC     2  0.922480        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba     180
97         Evaluation-ResNet152_Mamba-finetuned-clip2     180  ROC-AUC     3  0.912899        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba     180
98         Evaluation-ResNet152_Mamba-finetuned-clip2     180  ROC-AUC     4  0.896245        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba     180
99         Evaluation-ResNet152_Mamba-finetuned-clip2     180  ROC-AUC     5  0.926667        ResNet152-Mamba-finetuned-clip2  ResNet152        Mamba     180
100  Evaluation-ResNet152_Transformer-finetuned-clip2       3  ROC-AUC     1  0.918363  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer       3
101  Evaluation-ResNet152_Transformer-finetuned-clip2       3  ROC-AUC     2  0.929099  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer       3
102  Evaluation-ResNet152_Transformer-finetuned-clip2       3  ROC-AUC     3  0.933441  ResNet152-Transformer-finetuned-clip2  ResNet152  Transformer       3
