                                            Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
129         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-VS     5  0.705316        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
130         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-TA     1  0.379640        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
131         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-TA     2  0.509600        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
132         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-TA     3  0.405185        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
133         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-TA     4  0.436513        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
134         Evaluation-ResNet152_BiGRU-finetuned-clip2      15   F1-Score-TA     5  0.377677        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
135         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      F1-Score     1  0.584912        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
136         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      F1-Score     2  0.591875        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
137         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      F1-Score     3  0.580718        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
138         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      F1-Score     4  0.511286        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
139         Evaluation-ResNet152_BiGRU-finetuned-clip2      15      F1-Score     5  0.540677        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      15
140         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Idl     1  0.570511        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
141         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Idl     2  0.661782        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
142         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Idl     3  0.510901        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
143         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Idl     4  0.581925        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
144         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Idl     5  0.551479        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
145         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Inc     1  0.404016        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
146         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Inc     2  0.356039        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
147         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Inc     3  0.399909        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
148         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Inc     4  0.339018        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
149         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Inc     5  0.226198        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
150         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Vis     1  0.480607        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
151         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Vis     2  0.509752        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
152         Evaluation-ResNet152_BiGRU-finetuned-clip2      60  F1-Score-Vis     3  0.523881        ResNet152-BiGRU-finetuned-clip2  ResNet152        BiGRU      60
