                                           Experiment  Subset        Metric  File     Value                                  Model        CNN          RNN  LENGTH
123       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-1st     4  0.606855       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
124       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-1st     5  0.602046       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
125       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-2nd     1  0.172817       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
126       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-2nd     2  0.143961       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
127       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-2nd     3  0.155556       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
128       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-2nd     4  0.181909       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
129       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-2nd     5  0.191636       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
130       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-3rd     1  0.078518       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
131       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-3rd     2  0.071903       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
132       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-3rd     3  0.087821       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
133       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-3rd     4  0.078145       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
134       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-3rd     5  0.083531       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
135       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-4th     1  0.046718       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
136       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-4th     2  0.038310       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
137       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-4th     3  0.041530       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
138       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-4th     4  0.044866       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
139       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-4th     5  0.040046       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
140       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-5th     1  0.025911       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
141       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-5th     2  0.021540       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
142       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-5th     3  0.028081       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
143       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-5th     4  0.035430       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
144       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3  Accuracy-5th     5  0.026322       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
145       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3      Accuracy     1  0.638531       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
146       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3      Accuracy     2  0.682271       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
147       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3      Accuracy     3  0.643175       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
148       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3      Accuracy     4  0.606855       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
149       Evaluation-ResNet152_BiLSTM-finetuned-clip2       3      Accuracy     5  0.602046       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM       3
150       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-1st     1  0.680911       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
151       Evaluation-ResNet152_BiLSTM-finetuned-clip2      15  Accuracy-1st     2  0.699519       ResNet152-BiLSTM-finetuned-clip2  ResNet152       BiLSTM      15
