                                     Experiment       Metric  File     Value                            Model        CNN          RNN
96         Evaluation-ResNet152_Mamba-finetuned     F1-Score     2  0.485544        ResNet152-Mamba-finetuned  ResNet152        Mamba
97         Evaluation-ResNet152_Mamba-finetuned     F1-Score     3  0.404788        ResNet152-Mamba-finetuned  ResNet152        Mamba
98         Evaluation-ResNet152_Mamba-finetuned     F1-Score     4  0.481495        ResNet152-Mamba-finetuned  ResNet152        Mamba
99         Evaluation-ResNet152_Mamba-finetuned     F1-Score     5  0.523727        ResNet152-Mamba-finetuned  ResNet152        Mamba
100  Evaluation-ResNet152_Transformer-finetuned   F1-Score-N     1  0.708709  ResNet152-Transformer-finetuned  ResNet152  Transformer
101  Evaluation-ResNet152_Transformer-finetuned   F1-Score-N     2  0.790610  ResNet152-Transformer-finetuned  ResNet152  Transformer
102  Evaluation-ResNet152_Transformer-finetuned   F1-Score-N     3  0.748479  ResNet152-Transformer-finetuned  ResNet152  Transformer
103  Evaluation-ResNet152_Transformer-finetuned   F1-Score-N     4  0.798104  ResNet152-Transformer-finetuned  ResNet152  Transformer
104  Evaluation-ResNet152_Transformer-finetuned   F1-Score-N     5  0.801794  ResNet152-Transformer-finetuned  ResNet152  Transformer
105  Evaluation-ResNet152_Transformer-finetuned  F1-Score-PC     1  0.584041  ResNet152-Transformer-finetuned  ResNet152  Transformer
106  Evaluation-ResNet152_Transformer-finetuned  F1-Score-PC     2  0.715328  ResNet152-Transformer-finetuned  ResNet152  Transformer
107  Evaluation-ResNet152_Transformer-finetuned  F1-Score-PC     3  0.655063  ResNet152-Transformer-finetuned  ResNet152  Transformer
108  Evaluation-ResNet152_Transformer-finetuned  F1-Score-PC     4  0.659758  ResNet152-Transformer-finetuned  ResNet152  Transformer
109  Evaluation-ResNet152_Transformer-finetuned  F1-Score-PC     5  0.552632  ResNet152-Transformer-finetuned  ResNet152  Transformer
110  Evaluation-ResNet152_Transformer-finetuned  F1-Score-LR     1  0.000000  ResNet152-Transformer-finetuned  ResNet152  Transformer
111  Evaluation-ResNet152_Transformer-finetuned  F1-Score-LR     2  0.000000  ResNet152-Transformer-finetuned  ResNet152  Transformer
112  Evaluation-ResNet152_Transformer-finetuned  F1-Score-LR     3  0.000000  ResNet152-Transformer-finetuned  ResNet152  Transformer
113  Evaluation-ResNet152_Transformer-finetuned  F1-Score-LR     4  0.000000  ResNet152-Transformer-finetuned  ResNet152  Transformer
114  Evaluation-ResNet152_Transformer-finetuned  F1-Score-LR     5  0.201835  ResNet152-Transformer-finetuned  ResNet152  Transformer
115  Evaluation-ResNet152_Transformer-finetuned     F1-Score     1  0.430916  ResNet152-Transformer-finetuned  ResNet152  Transformer
116  Evaluation-ResNet152_Transformer-finetuned     F1-Score     2  0.501980  ResNet152-Transformer-finetuned  ResNet152  Transformer
117  Evaluation-ResNet152_Transformer-finetuned     F1-Score     3  0.467847  ResNet152-Transformer-finetuned  ResNet152  Transformer
118  Evaluation-ResNet152_Transformer-finetuned     F1-Score     4  0.485954  ResNet152-Transformer-finetuned  ResNet152  Transformer
119  Evaluation-ResNet152_Transformer-finetuned     F1-Score     5  0.518753  ResNet152-Transformer-finetuned  ResNet152  Transformer

Metric
F1-Score       0.495596
F1-Score-LR    0.061295
F1-Score-N     0.767488
F1-Score-PC    0.658003
