                           Experiment        Metric  File     Value                  Model        CNN          RNN
106       Evaluation-ResNet152_BiLSTM   F1-Score-LI     2  0.859813       ResNet152-BiLSTM  ResNet152       BiLSTM
107       Evaluation-ResNet152_BiLSTM   F1-Score-LI     3  0.891304       ResNet152-BiLSTM  ResNet152       BiLSTM
108       Evaluation-ResNet152_BiLSTM   F1-Score-LI     4  0.871287       ResNet152-BiLSTM  ResNet152       BiLSTM
109       Evaluation-ResNet152_BiLSTM   F1-Score-LI     5  0.807692       ResNet152-BiLSTM  ResNet152       BiLSTM
110       Evaluation-ResNet152_BiLSTM   F1-Score-LP     1  0.800000       ResNet152-BiLSTM  ResNet152       BiLSTM
111       Evaluation-ResNet152_BiLSTM   F1-Score-LP     2  0.761905       ResNet152-BiLSTM  ResNet152       BiLSTM
112       Evaluation-ResNet152_BiLSTM   F1-Score-LP     3  0.792793       ResNet152-BiLSTM  ResNet152       BiLSTM
113       Evaluation-ResNet152_BiLSTM   F1-Score-LP     4  0.755102       ResNet152-BiLSTM  ResNet152       BiLSTM
114       Evaluation-ResNet152_BiLSTM   F1-Score-LP     5  0.785714       ResNet152-BiLSTM  ResNet152       BiLSTM
115       Evaluation-ResNet152_BiLSTM  F1-Score-ACF     1  0.783333       ResNet152-BiLSTM  ResNet152       BiLSTM
116       Evaluation-ResNet152_BiLSTM  F1-Score-ACF     2  0.706897       ResNet152-BiLSTM  ResNet152       BiLSTM
117       Evaluation-ResNet152_BiLSTM  F1-Score-ACF     3  0.649123       ResNet152-BiLSTM  ResNet152       BiLSTM
118       Evaluation-ResNet152_BiLSTM  F1-Score-ACF     4  0.728972       ResNet152-BiLSTM  ResNet152       BiLSTM
119       Evaluation-ResNet152_BiLSTM  F1-Score-ACF     5  0.718447       ResNet152-BiLSTM  ResNet152       BiLSTM
120       Evaluation-ResNet152_BiLSTM   F1-Score-VS     1  0.852174       ResNet152-BiLSTM  ResNet152       BiLSTM
121       Evaluation-ResNet152_BiLSTM   F1-Score-VS     2  0.925926       ResNet152-BiLSTM  ResNet152       BiLSTM
122       Evaluation-ResNet152_BiLSTM   F1-Score-VS     3  0.872340       ResNet152-BiLSTM  ResNet152       BiLSTM
123       Evaluation-ResNet152_BiLSTM   F1-Score-VS     4  0.828829       ResNet152-BiLSTM  ResNet152       BiLSTM
124       Evaluation-ResNet152_BiLSTM   F1-Score-VS     5  0.852174       ResNet152-BiLSTM  ResNet152       BiLSTM
125       Evaluation-ResNet152_BiLSTM   F1-Score-TA     1  0.735043       ResNet152-BiLSTM  ResNet152       BiLSTM
126       Evaluation-ResNet152_BiLSTM   F1-Score-TA     2  0.745098       ResNet152-BiLSTM  ResNet152       BiLSTM
127       Evaluation-ResNet152_BiLSTM   F1-Score-TA     3  0.727273       ResNet152-BiLSTM  ResNet152       BiLSTM
128       Evaluation-ResNet152_BiLSTM   F1-Score-TA     4  0.738462       ResNet152-BiLSTM  ResNet152       BiLSTM
129       Evaluation-ResNet152_BiLSTM   F1-Score-TA     5  0.706897       ResNet152-BiLSTM  ResNet152       BiLSTM
130          Evaluation-ResNet152_GRU  F1-Score-Idl     1  0.639175          ResNet152-GRU  ResNet152          GRU
131          Evaluation-ResNet152_GRU  F1-Score-Idl     2  0.707071          ResNet152-GRU  ResNet152          GRU
132          Evaluation-ResNet152_GRU  F1-Score-Idl     3  0.787234          ResNet152-GRU  ResNet152          GRU
133          Evaluation-ResNet152_GRU  F1-Score-Idl     4  0.640777          ResNet152-GRU  ResNet152          GRU
134          Evaluation-ResNet152_GRU  F1-Score-Idl     5  0.538462          ResNet152-GRU  ResNet152          GRU
135          Evaluation-ResNet152_GRU  F1-Score-Inc     1  0.868852          ResNet152-GRU  ResNet152          GRU
136          Evaluation-ResNet152_GRU  F1-Score-Inc     2  0.741935          ResNet152-GRU  ResNet152          GRU
137          Evaluation-ResNet152_GRU  F1-Score-Inc     3  0.743802          ResNet152-GRU  ResNet152          GRU
138          Evaluation-ResNet152_GRU  F1-Score-Inc     4  0.769231          ResNet152-GRU  ResNet152          GRU
139          Evaluation-ResNet152_GRU  F1-Score-Inc     5  0.676471          ResNet152-GRU  ResNet152          GRU
140          Evaluation-ResNet152_GRU  F1-Score-Vis     1  0.729167          ResNet152-GRU  ResNet152          GRU
141          Evaluation-ResNet152_GRU  F1-Score-Vis     2  0.757282          ResNet152-GRU  ResNet152          GRU
142          Evaluation-ResNet152_GRU  F1-Score-Vis     3  0.659794          ResNet152-GRU  ResNet152          GRU
143          Evaluation-ResNet152_GRU  F1-Score-Vis     4  0.677686          ResNet152-GRU  ResNet152          GRU
144          Evaluation-ResNet152_GRU  F1-Score-Vis     5  0.752294          ResNet152-GRU  ResNet152          GRU
145          Evaluation-ResNet152_GRU  F1-Score-Cap     1  0.746269          ResNet152-GRU  ResNet152          GRU
146          Evaluation-ResNet152_GRU  F1-Score-Cap     2  0.804348          ResNet152-GRU  ResNet152          GRU
147          Evaluation-ResNet152_GRU  F1-Score-Cap     3  0.744681          ResNet152-GRU  ResNet152          GRU
148          Evaluation-ResNet152_GRU  F1-Score-Cap     4  0.785047          ResNet152-GRU  ResNet152          GRU
149          Evaluation-ResNet152_GRU  F1-Score-Cap     5  0.825688          ResNet152-GRU  ResNet152          GRU
150          Evaluation-ResNet152_GRU  F1-Score-Hyd     1  0.780000          ResNet152-GRU  ResNet152          GRU
151          Evaluation-ResNet152_GRU  F1-Score-Hyd     2  0.851485          ResNet152-GRU  ResNet152          GRU
152          Evaluation-ResNet152_GRU  F1-Score-Hyd     3  0.854167          ResNet152-GRU  ResNet152          GRU
153          Evaluation-ResNet152_GRU  F1-Score-Hyd     4  0.878505          ResNet152-GRU  ResNet152          GRU
154          Evaluation-ResNet152_GRU  F1-Score-Hyd     5  0.728972          ResNet152-GRU  ResNet152          GRU
155          Evaluation-ResNet152_GRU  F1-Score-Pha     1  0.914286          ResNet152-GRU  ResNet152          GRU
156          Evaluation-ResNet152_GRU  F1-Score-Pha     2  0.860000          ResNet152-GRU  ResNet152          GRU
157          Evaluation-ResNet152_GRU  F1-Score-Pha     3  0.875000          ResNet152-GRU  ResNet152          GRU
158          Evaluation-ResNet152_GRU  F1-Score-Pha     4  0.880734          ResNet152-GRU  ResNet152          GRU
159          Evaluation-ResNet152_GRU  F1-Score-Pha     5  0.888889          ResNet152-GRU  ResNet152          GRU
160          Evaluation-ResNet152_GRU   F1-Score-IA     1  0.825397          ResNet152-GRU  ResNet152          GRU
161          Evaluation-ResNet152_GRU   F1-Score-IA     2  0.824561          ResNet152-GRU  ResNet152          GRU
162          Evaluation-ResNet152_GRU   F1-Score-IA     3  0.740741          ResNet152-GRU  ResNet152          GRU
163          Evaluation-ResNet152_GRU   F1-Score-IA     4  0.628571          ResNet152-GRU  ResNet152          GRU
164          Evaluation-ResNet152_GRU   F1-Score-IA     5  0.807018          ResNet152-GRU  ResNet152          GRU
165          Evaluation-ResNet152_GRU   F1-Score-CP     1  0.859649          ResNet152-GRU  ResNet152          GRU
166          Evaluation-ResNet152_GRU   F1-Score-CP     2  0.846847          ResNet152-GRU  ResNet152          GRU
167          Evaluation-ResNet152_GRU   F1-Score-CP     3  0.803419          ResNet152-GRU  ResNet152          GRU
168          Evaluation-ResNet152_GRU   F1-Score-CP     4  0.775862          ResNet152-GRU  ResNet152          GRU
169          Evaluation-ResNet152_GRU   F1-Score-CP     5  0.809917          ResNet152-GRU  ResNet152          GRU
170          Evaluation-ResNet152_GRU   F1-Score-LI     1  0.859504          ResNet152-GRU  ResNet152          GRU
171          Evaluation-ResNet152_GRU   F1-Score-LI     2  0.770642          ResNet152-GRU  ResNet152          GRU
172          Evaluation-ResNet152_GRU   F1-Score-LI     3  0.910891          ResNet152-GRU  ResNet152          GRU
