                                 Experiment        Metric  File     Value                       Model             CNN          RNN
95              Evaluation-DenseNet121_LSTM  Accuracy-2nd     1  0.155220            DenseNet121-LSTM     DenseNet121         LSTM
96              Evaluation-DenseNet121_LSTM  Accuracy-2nd     2  0.174165            DenseNet121-LSTM     DenseNet121         LSTM
97              Evaluation-DenseNet121_LSTM  Accuracy-2nd     3  0.143288            DenseNet121-LSTM     DenseNet121         LSTM
98              Evaluation-DenseNet121_LSTM  Accuracy-2nd     4  0.153846            DenseNet121-LSTM     DenseNet121         LSTM
99              Evaluation-DenseNet121_LSTM  Accuracy-2nd     5  0.127747            DenseNet121-LSTM     DenseNet121         LSTM
100             Evaluation-DenseNet121_LSTM  Accuracy-3rd     1  0.046703            DenseNet121-LSTM     DenseNet121         LSTM
101             Evaluation-DenseNet121_LSTM  Accuracy-3rd     2  0.063861            DenseNet121-LSTM     DenseNet121         LSTM
102             Evaluation-DenseNet121_LSTM  Accuracy-3rd     3  0.048265            DenseNet121-LSTM     DenseNet121         LSTM
103             Evaluation-DenseNet121_LSTM  Accuracy-3rd     4  0.053147            DenseNet121-LSTM     DenseNet121         LSTM
104             Evaluation-DenseNet121_LSTM  Accuracy-3rd     5  0.039835            DenseNet121-LSTM     DenseNet121         LSTM
105             Evaluation-DenseNet121_LSTM  Accuracy-4th     1  0.021978            DenseNet121-LSTM     DenseNet121         LSTM
106             Evaluation-DenseNet121_LSTM  Accuracy-4th     2  0.018868            DenseNet121-LSTM     DenseNet121         LSTM
107             Evaluation-DenseNet121_LSTM  Accuracy-4th     3  0.022624            DenseNet121-LSTM     DenseNet121         LSTM
108             Evaluation-DenseNet121_LSTM  Accuracy-4th     4  0.030769            DenseNet121-LSTM     DenseNet121         LSTM
109             Evaluation-DenseNet121_LSTM  Accuracy-4th     5  0.008242            DenseNet121-LSTM     DenseNet121         LSTM
110             Evaluation-DenseNet121_LSTM  Accuracy-5th     1  0.013736            DenseNet121-LSTM     DenseNet121         LSTM
111             Evaluation-DenseNet121_LSTM  Accuracy-5th     2  0.013062            DenseNet121-LSTM     DenseNet121         LSTM
112             Evaluation-DenseNet121_LSTM  Accuracy-5th     3  0.009050            DenseNet121-LSTM     DenseNet121         LSTM
113             Evaluation-DenseNet121_LSTM  Accuracy-5th     4  0.020979            DenseNet121-LSTM     DenseNet121         LSTM
114             Evaluation-DenseNet121_LSTM  Accuracy-5th     5  0.012363            DenseNet121-LSTM     DenseNet121         LSTM
115             Evaluation-DenseNet121_LSTM      Accuracy     1  0.751374            DenseNet121-LSTM     DenseNet121         LSTM
116             Evaluation-DenseNet121_LSTM      Accuracy     2  0.714078            DenseNet121-LSTM     DenseNet121         LSTM
117             Evaluation-DenseNet121_LSTM      Accuracy     3  0.749623            DenseNet121-LSTM     DenseNet121         LSTM
118             Evaluation-DenseNet121_LSTM      Accuracy     4  0.717483            DenseNet121-LSTM     DenseNet121         LSTM
119             Evaluation-DenseNet121_LSTM      Accuracy     5  0.799451            DenseNet121-LSTM     DenseNet121         LSTM
120       Evaluation-DenseNet121_Mamba-best  Accuracy-1st     1  0.729396      DenseNet121-Mamba-best     DenseNet121        Mamba
121       Evaluation-DenseNet121_Mamba-best  Accuracy-1st     2  0.753266      DenseNet121-Mamba-best     DenseNet121        Mamba
122       Evaluation-DenseNet121_Mamba-best  Accuracy-1st     3  0.714932      DenseNet121-Mamba-best     DenseNet121        Mamba
123       Evaluation-DenseNet121_Mamba-best  Accuracy-1st     4  0.675524      DenseNet121-Mamba-best     DenseNet121        Mamba
124       Evaluation-DenseNet121_Mamba-best  Accuracy-1st     5  0.744505      DenseNet121-Mamba-best     DenseNet121        Mamba
125       Evaluation-DenseNet121_Mamba-best  Accuracy-2nd     1  0.166209      DenseNet121-Mamba-best     DenseNet121        Mamba
126       Evaluation-DenseNet121_Mamba-best  Accuracy-2nd     2  0.150943      DenseNet121-Mamba-best     DenseNet121        Mamba
127       Evaluation-DenseNet121_Mamba-best  Accuracy-2nd     3  0.159879      DenseNet121-Mamba-best     DenseNet121        Mamba
128       Evaluation-DenseNet121_Mamba-best  Accuracy-2nd     4  0.190210      DenseNet121-Mamba-best     DenseNet121        Mamba
129       Evaluation-DenseNet121_Mamba-best  Accuracy-2nd     5  0.129121      DenseNet121-Mamba-best     DenseNet121        Mamba
130       Evaluation-DenseNet121_Mamba-best  Accuracy-3rd     1  0.061813      DenseNet121-Mamba-best     DenseNet121        Mamba
