                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
112         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LI     3  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
113         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LI     4  0.232558         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
114         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LI     5  0.226804         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
115         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LP     1  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
116         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LP     2  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
117         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LP     3  0.101695         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
118         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LP     4  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
119         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-LP     5  0.276423         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
120         Evaluation-ResNet152_LSTM10-finetuned  F1-Score-ACF     1  0.362500         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
121         Evaluation-ResNet152_LSTM10-finetuned  F1-Score-ACF     2  0.350515         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
122         Evaluation-ResNet152_LSTM10-finetuned  F1-Score-ACF     3  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
123         Evaluation-ResNet152_LSTM10-finetuned  F1-Score-ACF     4  0.400000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
124         Evaluation-ResNet152_LSTM10-finetuned  F1-Score-ACF     5  0.000000         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
125         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-VS     1  0.457143         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
126         Evaluation-ResNet152_LSTM10-finetuned   F1-Score-VS     2  0.246575         ResNet152-LSTM10-finetuned  ResNet152         LSTM       True      10
