                                       Experiment        Metric  File     Value                              Model        CNN          RNN  finetuned  Blocks
125        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-2nd     1  0.192308        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
126        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-2nd     2  0.172414        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
127        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-2nd     3  0.183673        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
128        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-2nd     4  0.201399        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
129        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-2nd     5  0.229290        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
130        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-3rd     1  0.111406        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
131        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-3rd     2  0.102122        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
132        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-3rd     3  0.113030        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
133        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-3rd     4  0.096503        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
134        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-3rd     5  0.105030        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
135        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-4th     1  0.061008        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
136        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-4th     2  0.076923        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
137        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-4th     3  0.058085        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
138        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-4th     4  0.058741        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
139        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-4th     5  0.069527        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
140        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-5th     1  0.050398        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
141        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-5th     2  0.061008        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
142        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-5th     3  0.021978        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
143        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-5th     4  0.043357        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
144        Evaluation-ResNet152_Mamba10-finetuned  Accuracy-5th     5  0.041420        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
145        Evaluation-ResNet152_Mamba10-finetuned      Accuracy     1  0.500000        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
146        Evaluation-ResNet152_Mamba10-finetuned      Accuracy     2  0.473475        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
147        Evaluation-ResNet152_Mamba10-finetuned      Accuracy     3  0.574568        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
148        Evaluation-ResNet152_Mamba10-finetuned      Accuracy     4  0.490909        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
149        Evaluation-ResNet152_Mamba10-finetuned      Accuracy     5  0.461538        ResNet152-Mamba10-finetuned  ResNet152        Mamba       True      10
150         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-1st     1  0.411141         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
151         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-1st     2  0.494695         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
152         Evaluation-ResNet152_Mamba5-finetuned  Accuracy-1st     3  0.533752         ResNet152-Mamba5-finetuned  ResNet152        Mamba       True       5
